Iteration,PPO,DQN,Heuristic
0,-84.5,-87.6,-44.03819507227528
1,-82.25,-73.7,-41.52801559726513
2,-78.42,-62.666666666666664,-39.02859264824293
3,-72.08,-52.0,-39.146913269918414
4,-65.58,-43.44,-35.85375491301216
5,-54.48,-34.06666666666667,-27.23286420649959
6,-41.34,-24.142857142857142,-19.16268961953837
7,-23.8,-15.15,-15.395825498736787
8,-2.26,-5.666666666666667,-1.2621999722753507
9,21.1,3.48,9.412719696094435
10,38.94,21.76,17.493084075914673
11,49.68,37.48,23.97848921380092
12,56.86,51.12,24.11784801247869
13,64.12,62.74,31.1420004451607
14,69.46,73.26,38.94737095323602
15,75.16,81.66,37.687416686591604
16,79.14,87.78,43.18813672360355
17,82.82,92.72,40.19476815924193
18,85.08,95.32,40.749736918339515
19,86.78,96.42,41.38137436832311
20,87.92,96.38,48.80739928096554
21,89.56,96.22,41.06964476940198
22,90.42,96.14,47.28490416072991
23,91.06,96.28,42.40698291648322
24,92.5,96.28,48.29469953096529
25,93.8,96.26,44.98080589225286
26,94.38,96.22,43.98671680430096
27,95.04,96.22,50.351242711967224
28,95.26,96.3,49.16942278194177
29,95.02,96.28,47.10457907709386
30,95.54,96.34,51.264656115704554
31,96.3,96.52,46.06471928241793
32,97.08,96.6,47.7335993416251
33,97.62,96.4,44.434313783747896
34,97.7,96.46,53.138538204226535
35,97.98,96.44,51.7200190277681
36,97.84,96.4,53.18692011916542
37,97.9,96.36,52.64600515741257
38,98.22,96.12,51.93640005793542
39,98.52,96.12,47.5747928162337
40,98.96,96.24,53.91556003526679
41,99.18,96.02,49.35521621185372
42,99.32,96.02,46.23277846516639
43,99.46,95.96,52.03863590943258
44,99.5,95.96,53.044017199622246
45,99.34,96.02,51.81547902992564
46,99.46,96.04,53.141351012743
47,99.62,95.96,54.09950020074554
48,99.7,96.18,45.71746132593216
49,99.76,96.2,50.31620600117238
50,99.72,96.2,48.18242515656618
51,99.8,96.34,53.42294076970725
52,99.9,96.3,53.296779968955775
53,99.86,96.58,49.795085588828215
54,99.9,96.38,51.904060314787195
55,99.94,96.42,48.80922841323126
56,99.96,96.38,46.68298423885279
57,99.96,96.48,47.34953118934714
58,99.94,96.34,47.507484378822554
59,99.92,96.3,45.70730089621536
60,99.88,96.22,54.1117238871193
61,99.94,96.14,51.37706006761231
62,99.98,96.34,47.08015766706101
63,100.0,96.22,54.31645416327699
64,100.0,96.42,53.19508392683111
65,99.98,96.38,47.11387092937502
66,99.98,96.54,53.865329280477795
67,100.0,96.38,54.605907744949484
68,100.0,96.44,51.8176104291556
69,100.0,96.5,45.81926032829294
70,100.0,96.52,53.83729531248498
71,99.98,96.58,51.7873238839523
72,99.98,96.4,46.92187847751808
73,99.98,96.4,46.38812792258732
74,99.98,96.26,50.98543242989171
75,100.0,96.26,46.73304548030097
76,100.0,96.2,45.896538444208694
77,100.0,96.34,53.571046378207924
78,100.0,96.46,45.36827900270116
79,100.0,96.56,47.46582880790523
80,100.0,96.5,47.696899072863005
81,100.0,96.48,46.246929538690274
82,100.0,96.48,46.679737776306084
83,100.0,96.36,45.765345468324675
84,100.0,96.52,47.53550117864874
85,100.0,96.52,46.99039731723122
86,100.0,96.42,50.72496125760374
87,100.0,96.28,50.78693873063201
88,100.0,96.0,48.95897380579693
89,100.0,95.8,50.91514833257463
90,100.0,96.08,45.69783835595003
91,100.0,96.22,47.14380171621425
92,100.0,96.22,54.01123510158452
93,100.0,96.44,47.910988470115406
94,100.0,96.28,49.414069329893984
95,100.0,96.16,50.32512952177919
96,100.0,96.4,54.93279419667401
97,100.0,96.44,50.150414496093546
98,100.0,96.56,51.71490388916543
